Privacy Settings,Datenschutzeinstellungen
Clone,Duplizieren
Are you sure you want to do this?,"Bist du sicher, dass du das tun willst?"
Delete,Löschen
Save and Continue Edit,Speichern und weiter bearbeiten
Save,Speichern
Send,Senden
Download personal data,Persönliche Daten herunterladen
Here you can download a copy of your personal data which we store for your account in CSV format.,"Hier kannst du eine Kopie deiner persönlichen Daten herunterladen, die wir für dein Konto im CSV-Format speichern."
Download,Herunterladen
Anonymise personal data,Persönliche Daten anonymisieren
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login and password to your e-mail address. After this process, your e-mail address and all other personal data will be removed from the website.","Die Anonymisierung deiner personenbezogenen Daten bedeutet, dass sie durch nicht personenbezogene anonyme Informationen ersetzt werden und du ein neues Login und Passwort an deine E-Mail-Adresse gesendet erhältst. Nach diesem Prozess werden deine E-Mail-Adresse und alle anderen personenbezogenen Daten von der Website entfernt."
I agree and I want to proceed,Ich bin einverstanden und möchte fortfahren.
Proceed,Weiter
Delete account,Kundenkonto löschen
"Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request.","Der Antrag auf Entfernung deines Kontos, zusammen mit allen deinen persönlichen Daten, wird von unseren Mitarbeitern bearbeitet. <br>Löschen deines Kontos entfernt alle Einkaufshistorie, Rabatte, Bestellungen, Rechnungen und alle anderen Informationen, die mit deinem Konto oder deinen Einkäufen zusammenhängen könnten. <br>Alle deine Bestellungen und ähnliche Informationen gehen verloren. <br>Du kannst den Zugang zu deinem Konto nicht wiederherstellen, nachdem wir deinen Entfernungsantrag genehmigt haben."
I understand and I want to delete my account,Ich verstehe und möchte mein Konto löschen.
Submit request,Anfrage abschicken
Revoke Cookie Policy Consent,Widerruf der Cookie-Richtlinie Einwilligung
Revoke,Widerrufen
Action Log,Aktivitäts Log
Customers Consents Email Queue,Customers Consents Email Queue
Cookie Policy Consents,Cookie Policy Consents
This policy no longer exists.,Diese Richtlinie existiert nicht mehr.
You deleted the policy.,Du hast die Richtlinie gelöscht.
We can't delete item right now. Please review the log and try again.,Wir können im Moment keinen Artikel löschen. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut.
New Privacy Policy,Neue Datenschutzerklärung
Edit Privacy Policy %1,Datenschutzerklärung bearbeiten %1
Privacy Policy,Datenschutzerklärung
Please correct the data sent.,Bitte korrigiere die gesendeten Daten.
Something went wrong while saving the question.,Beim Speichern der Frage ist etwas schief gelaufen.
%1 policies(s) has been successfully deleted,%1 Datenschutzerklärung(en) wurde(n) gelöscht
An error has occurred,Es ist ein Fehler aufgetreten
"Sorry, privacy policy with the same version already exists.","Sorry, Datenschutzerklärung mit der gleichen Version existiert bereits."
"Privacy Policy - Sorry, privacy policy with the same version already exists.","Datenschutzerklärung - Sorry, die Datenschutzerklärung mit der gleichen Version existiert bereits."
You saved the item.,Du hast den Artikel gespeichert.
%1 customer(s) has been successfully deleted,%1 Kunde(n) erfolgreich gelöscht
"%1 customer(s) has not been successfully deleted, because they have non-completed order(s)","%1 Kunde(n) wurde(n) nicht erfolgreich gelöscht, weil sie noch nicht abgeschlossene(n) Auftrag(e) haben."
Delete Requests,Aufträge löschen
Deny Delete Requests,Löschaufträge ablehnen
An error has occurred. Please check logs for more details,Es ist ein Fehler aufgetreten. Bitte überprüfen Sie die Protokolle für weitere Details.
%1 email(s) has been sent,%1 E-Mail(s) wurde(n) gesendet
Customers With Consent,Kunden mit Zustimmung
Customers were successfully added to email queue,Kunden wurden erfolgreich in die E-Mail-Warteschlange aufgenommen.
Customers Without Consent,Kunden ohne Zustimmung
Invalid Form Key. Please refresh the page.,Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite..
Access denied.,Zugriff verweigert.
Wrong Password. Please recheck it.,Falsches Passwort. Bitte überprüfen Sie es noch einmal.
Your delete account request is awaiting for the review by the administrator.,Der Antrag auf ein Löschung deines Konto wartet auf die Überprüfung durch den Administrator.
