A coupon code has been used. You cannot apply gift codes with the coupon to get discount.,Um código promocional foi usado. Você não pode aplicar códigos de presente com o cupom para obter um desconto.
You need to add your friend\'s address as the shipping address. We will send this gift card to that address.,Você deve adicionar o endereço do seu amigo como o endereço de entrega. Enviaremos este cartão-presente para este endereço.
The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount.,O código de presente foi usado. Você não pode aplicar um código de cupom com códigos de presente para obter um desconto.
Active when order is complete,Ativo no final do pedido
There is not the Gift card template available.,O modelo de cartão de presente não está disponível.
You didn\'t assign the Gift Card template to this product.,Você não atribuiu o modelo de cartão-presente a este produto.
Please enter Gift Card information.,"Por favor, insira as informações do cartão de presente."
Please specify product\'s required option(s).,"Por favor, especifique as opções de produto requeridas."
Create,Crio
Update,Atualizar
Mass update,Atualização em massa
Spent on order,Passado por encomenda
Refund,Reembolso
Redeem,Resgatar
Cancel,Cancelar
There is no available gift card history action,Não há nenhuma ação disponível no histórico do cartão de presente
Pending,esperando
Active,ativo
Disabled,Desativado
Used,em uso
Expired,Expirado
Refunded,devolveu
Not Send,Não enviado
Sent via Email,Enviado por email
Send via Post Office,Enviar pelo correio
"Gift Card with id ""%1"" does not exist.","O vale de oferta com ID ""% 1"" não existe."
Created by Api user,Criado pelo usuário Api
Your Gift Card credit balance must be greater than 0.,O saldo de crédito do seu cartão-presente deve ser maior que 0.
Invalid pattern,Razão inválida
Data_invalid,Data_invalid
"Gift Card Template with id ""%1"" does not exist.","O modelo de cartão de presente com o ID ""% 1"" não existe."
Gift Card Code,Código do vale-presente
-- Please Select --,- Por favor escolha -
Fixed value,Valor fixo
Range of values,Faixa de valores
Dropdown values,Valores suspensos
Code 128,Código 128
QR code,Código QR
Physical,Physical
Virtual,Virtual
Combine,Combine
Enable,Ativar
Disable,desativar
Gift Card value,Valor do vale de oferta
Gift Card template,Modelo de cartão de presente
Sender name,Nome do remetente
Recipient name,nome do destinatário
Recipient email address,Endereço de email do destinatário
Ship to recipient,Enviar para o destinatário
Recipient address,Endereço de entrega
Custom message,Mensagem personalizada
Day to send,Dia de envio
Time zone,Fuso horário
Same as Gift Card Value,Idêntico ao valor do cartão-presente
Fixed Price,Preço fixo
Percent of Gift Card value,Porcentagem do valor do cartão-presente
Left,Esquerda
Top,topo
Center,Centro
Enabled,ativado
Gift code is existed!,O código de presente existe!
Exceeded maximum retries to find available random gift card code!,Número máximo de tentativas excedidas para encontrar o código do vale presente aleatório disponível!
Message max length cannot be greater than 240 characters.,O comprimento máximo da mensagem não pode exceder 240 caracteres.
The gift code pattern is invalid! It was changed to the default gift code pattern.,O modelo de código de presente é inválido! Ele foi alterado para o modelo de código de presente padrão.
Gift Card credit,Crédito do vale-presente
Gift Card,Cartão Presente
Gift Card credit:,Crédito do vale de oferta:
Gift Card (%1):,Cartão de presente (% 1):
Default Template 1,Modelo padrão 1
Default Template 2,Modelo Padrão 2
Default Template 3,Modelo Padrão 3
"Seperated by comma, e.g. 10,20,30","Separado por uma vírgula, por exemplo, 10,20,30"
Gift Card price is the same as Gift Card value by default.,O preço do cartão-presente é o mesmo que o valor do cartão-presente padrão.
Back,Retorna
The Gift Card email has been failed to send.,O envio do email do vale de oferta falhou.
The Gift Card email has been sent successfully.,O email do vale de oferta foi enviado com sucesso.
The Gift Card email cannot be sent to your friend!,O e-mail com cartão de presente não pode ser enviado ao seu amigo!
The maximum number of times to enter gift codes is %1!,O número máximo de vezes para inserir os códigos de presente é% 1!
"Gift card ""%1"" is invalid.","O vale de oferta ""% 1"" é inválido."
You have %1 time(s) remaining to re-enter Gift Card code.,Você tem% 1 hora (s) para reinserir o código do vale-presente.
"Gift code ""%1"" has usage conditions, you cannot redeem it to Gift Card credit","O código de presente ""% 1"" tem condições de uso. Não é possível resgatá-lo para crédito de vale-presente"
The gift code usage has exceeded the number of users allowed.,O uso do código de presente excedeu o número de usuários permitidos.
%1 - The current balance of this gift code is 0.,% 1 - O saldo atual deste código de presente é 0.
"Gift code ""%1"" is not avaliable","O código de presente ""% 1"" não está disponível"
Redeem to Gift Card credit balance,Resgatar para saldo de crédito do vale-presente
Redeemed by %1,Resgatado por% 1
"Gift card ""%1"" was successfully redeemed","O vale de oferta ""% 1"" foi resgatado com sucesso"
Image Saving Error!,Erro de salvamento de imagem!
Check Gift Card Balance,Verificar saldo do vale-presente
Gift card was successfully removed,O vale de oferta foi removido com sucesso
"Gift code ""%1"" is invalid.","O código de presente ""% 1"" é inválido."
This gift code has already existed in your list.,Este código de presente já existe na sua lista.
The gift code has been added to your list successfully.,O código de presente foi adicionado à sua lista com sucesso.
Gift Code,Código de presente
Manage Gift Codes,Gerenciar códigos de presente
Customer email is not valid,O email do cliente não é válido
Recipient email is not valid,O email do destinatário não é válido
Updated by %1,Atualizado por% 1
Created by %1,Criado por% 1
Gift Code was successfully saved,O código de presente foi salvo com sucesso
and %1 email(s) were sent.,e% 1 email (s) foram enviados.
There is no email address to send.,Não há endereço de email para enviar.
