"Add to Wish List", "Wish List"
"Add to Compare", "Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Proceed to Checkout", "Go to Checkout"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"Summary","Bestellübersicht"
"Shopping Cart","Warenkorb"
"TO THE NEWS","ZU DEN NEUHEITEN"
"Vat Included","Inkl. MwSt"
"You might like it too","Das könnte dir auch gefallen"
"Subtotal","Zwischensumme"
"Shipping","Versand"
"Order Total","Gesamtsumme"
"Add Your Review","Schreibe deine eigene Bewertung"
"Review","Rezension"
"Be the first to review this product","Bewerten Sie als erster dieses Produkt"
"Order Summary","Bestellungsübersicht"
"Login","Anmeldung"
"Item in Cart","xxx"
"Shipping Address","Lieferadresse"
