"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Vat Included","Vat Included"
"Special Price","Special Price"
"Regular Price","Regular Price"
"My Cart","My Cart"
"Your Shopping Basket is Empty.","Your Shopping Basket is Empty."
"TO THE NEWS.","TO THE NEWS"
"Get started and fill your shopping cart with the latest make-up trends.","Get started and fill your shopping cart with the latest make-up trends."
"<a href=""%1"">' . . '</a>","<a href=""%1"">' . . '</a>"
"Enter discount code","Enter discount code"
EINLÖSEN,EINLÖSEN
"Cancel Coupon","Cancel Coupon"
Gutschein,Gutschein
"Shopping Cart Items","Shopping Cart Items"
Item,Item
Price,Price
Qty,Qty
Subtotal,Subtotal
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Update Cart","Update Cart"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Edit item parameters","Edit item parameters"
Edit,Edit
"Remove item","Remove item"
Loading...,Loading...
"Order #","Order #"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Proceed to Checkout","Proceed to Checkout"
"Product Name","Product Name"
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"Deine Bestellnummer lautet: %1","Deine Bestellnummer lautet: %1"
"Deine Bestellnummer lautet: <div class=""order-number""><span>%1</span></div>","Deine Bestellnummer lautet: <div class=""order-number""><span>%1</span></div>"
"Du erhältst in wenigen Augenblicken eine Bestellbestätigung per E-Mail mit weiteren Informationen und einem Link,
<span>um die Bestellung weiterverfolgen zu können.</span>","Du erhältst in wenigen Augenblicken eine Bestellbestätigung per E-Mail mit weiteren Informationen und einem Link,
<span>um die Bestellung weiterverfolgen zu können.</span>"
"Print receipt","Print receipt"
"Apply Discount Code","Apply Discount Code"
"Apply Discount","Apply Discount"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Estimate Tax","Estimate Tax"
"Estimate Shipping and Tax","Estimate Shipping and Tax"
